Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
640.50	0.10132	0.37351	2.6773	704.44	975.71	8.0365	0.85192	1.1488	604.94	-0.52145	39.217	0.061402	vapor
643.34	0.10132	0.37236	2.6856	706.85	978.97	8.0401	0.85256	1.1494	605.82	-0.52413	39.296	0.061555	vapor
646.18	0.10132	0.37121	2.6939	709.27	982.23	8.0436	0.85319	1.1501	606.70	-0.52678	39.376	0.061707	vapor
649.01	0.10132	0.37007	2.7022	711.69	985.50	8.0472	0.85382	1.1507	607.57	-0.52941	39.455	0.061859	vapor
651.85	0.10132	0.36893	2.7105	714.12	988.76	8.0507	0.85445	1.1513	608.45	-0.53201	39.535	0.062012	vapor
654.68	0.10132	0.36780	2.7188	716.54	992.03	8.0542	0.85508	1.1520	609.32	-0.53459	39.614	0.062164	vapor
657.52	0.10132	0.36668	2.7271	718.97	995.30	8.0578	0.85571	1.1526	610.19	-0.53715	39.693	0.062316	vapor
660.36	0.10132	0.36557	2.7355	721.40	998.57	8.0613	0.85634	1.1532	611.06	-0.53969	39.772	0.062467	vapor
663.19	0.10132	0.36446	2.7438	723.83	1001.8	8.0648	0.85696	1.1538	611.93	-0.54220	39.851	0.062619	vapor
666.03	0.10132	0.36336	2.7521	726.26	1005.1	8.0683	0.85758	1.1545	612.80	-0.54470	39.930	0.062771	vapor
668.87	0.10132	0.36227	2.7604	728.69	1008.4	8.0717	0.85821	1.1551	613.67	-0.54716	40.009	0.062922	vapor
671.70	0.10132	0.36118	2.7687	731.13	1011.7	8.0752	0.85882	1.1557	614.53	-0.54961	40.087	0.063073	vapor
674.54	0.10132	0.36010	2.7770	733.56	1014.9	8.0787	0.85944	1.1563	615.40	-0.55204	40.166	0.063225	vapor
677.38	0.10132	0.35903	2.7853	736.00	1018.2	8.0821	0.86006	1.1569	616.26	-0.55445	40.244	0.063376	vapor
680.21	0.10132	0.35796	2.7936	738.44	1021.5	8.0856	0.86067	1.1576	617.12	-0.55683	40.323	0.063527	vapor
683.05	0.10132	0.35690	2.8019	740.89	1024.8	8.0890	0.86128	1.1582	617.98	-0.55920	40.401	0.063677	vapor
685.89	0.10132	0.35584	2.8102	743.33	1028.1	8.0925	0.86190	1.1588	618.84	-0.56154	40.479	0.063828	vapor
688.72	0.10132	0.35479	2.8186	745.78	1031.4	8.0959	0.86250	1.1594	619.70	-0.56386	40.557	0.063979	vapor
691.56	0.10132	0.35375	2.8269	748.22	1034.7	8.0993	0.86311	1.1600	620.56	-0.56617	40.635	0.064129	vapor
694.39	0.10132	0.35271	2.8352	750.67	1037.9	8.1027	0.86372	1.1606	621.41	-0.56845	40.713	0.064279	vapor
697.23	0.10132	0.35168	2.8435	753.12	1041.2	8.1061	0.86432	1.1612	622.27	-0.57072	40.791	0.064430	vapor
700.07	0.10132	0.35066	2.8518	755.58	1044.5	8.1095	0.86492	1.1618	623.12	-0.57296	40.868	0.064580	vapor
702.90	0.10132	0.34964	2.8601	758.03	1047.8	8.1129	0.86552	1.1624	623.97	-0.57519	40.946	0.064730	vapor
705.74	0.10132	0.34863	2.8684	760.49	1051.1	8.1162	0.86612	1.1630	624.82	-0.57739	41.023	0.064880	vapor
