Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
25.000	185.00	1005.2	0.00099484	103.43	121.83	0.36229	4.0786	4.1314	1527.5	-0.022089	886.62	0.61556	liquid
25.000	186.00	1005.2	0.00099479	103.42	121.92	0.36226	4.0783	4.1312	1527.6	-0.022089	886.60	0.61561	liquid
25.000	187.00	1005.3	0.00099475	103.41	122.02	0.36223	4.0780	4.1309	1527.8	-0.022089	886.59	0.61566	liquid
25.000	188.00	1005.3	0.00099471	103.41	122.11	0.36220	4.0777	4.1307	1528.0	-0.022088	886.58	0.61570	liquid
25.000	189.00	1005.4	0.00099467	103.40	122.20	0.36218	4.0774	4.1304	1528.1	-0.022088	886.56	0.61575	liquid
25.000	190.00	1005.4	0.00099462	103.39	122.29	0.36215	4.0771	4.1302	1528.3	-0.022087	886.55	0.61579	liquid
25.000	191.00	1005.5	0.00099458	103.38	122.38	0.36212	4.0768	4.1299	1528.5	-0.022087	886.53	0.61584	liquid
25.000	192.00	1005.5	0.00099454	103.38	122.47	0.36209	4.0765	4.1297	1528.6	-0.022087	886.52	0.61588	liquid
25.000	193.00	1005.5	0.00099449	103.37	122.56	0.36207	4.0762	4.1294	1528.8	-0.022086	886.51	0.61593	liquid
25.000	194.00	1005.6	0.00099445	103.36	122.65	0.36204	4.0759	4.1292	1529.0	-0.022086	886.49	0.61598	liquid
25.000	195.00	1005.6	0.00099441	103.35	122.75	0.36201	4.0756	4.1289	1529.1	-0.022086	886.48	0.61602	liquid
25.000	196.00	1005.7	0.00099437	103.35	122.84	0.36198	4.0753	4.1287	1529.3	-0.022085	886.46	0.61607	liquid
25.000	197.00	1005.7	0.00099432	103.34	122.93	0.36195	4.0750	4.1284	1529.5	-0.022085	886.45	0.61611	liquid
25.000	198.00	1005.8	0.00099428	103.33	123.02	0.36193	4.0747	4.1282	1529.6	-0.022085	886.44	0.61616	liquid
25.000	199.00	1005.8	0.00099424	103.32	123.11	0.36190	4.0744	4.1279	1529.8	-0.022084	886.42	0.61620	liquid
25.000	200.00	1005.8	0.00099419	103.32	123.20	0.36187	4.0741	4.1277	1530.0	-0.022084	886.41	0.61625	liquid
