Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
953.05	1.0000	0.22742	4.3971	62.047	69.968	167.45	32.363	40.696	743.47	0.27414	35.772	0.090631	vapor
954.72	1.0000	0.22702	4.4048	62.101	70.036	167.53	32.385	40.717	744.07	0.27277	35.837	0.090858	vapor
956.38	1.0000	0.22663	4.4125	62.155	70.104	167.60	32.406	40.738	744.67	0.27141	35.902	0.091085	vapor
958.05	1.0000	0.22623	4.4202	62.209	70.172	167.67	32.427	40.759	745.27	0.27007	35.967	0.091313	vapor
959.72	1.0000	0.22584	4.4279	62.263	70.240	167.74	32.448	40.781	745.87	0.26873	36.032	0.091541	vapor
961.38	1.0000	0.22545	4.4356	62.317	70.308	167.81	32.470	40.802	746.47	0.26740	36.097	0.091769	vapor
963.05	1.0000	0.22506	4.4433	62.371	70.376	167.88	32.491	40.823	747.06	0.26607	36.162	0.091997	vapor
964.72	1.0000	0.22467	4.4510	62.425	70.444	167.95	32.512	40.844	747.66	0.26476	36.227	0.092225	vapor
966.38	1.0000	0.22428	4.4587	62.479	70.512	168.02	32.534	40.865	748.26	0.26346	36.292	0.092453	vapor
968.05	1.0000	0.22389	4.4664	62.534	70.580	168.09	32.555	40.886	748.85	0.26216	36.356	0.092681	vapor
969.72	1.0000	0.22351	4.4741	62.588	70.648	168.16	32.576	40.908	749.45	0.26087	36.421	0.092910	vapor
971.38	1.0000	0.22312	4.4818	62.642	70.716	168.23	32.597	40.929	750.04	0.25959	36.486	0.093139	vapor
973.05	1.0000	0.22274	4.4895	62.697	70.784	168.30	32.619	40.950	750.64	0.25832	36.551	0.093367	vapor
974.71	1.0000	0.22236	4.4972	62.751	70.853	168.37	32.640	40.971	751.23	0.25706	36.615	0.093596	vapor
976.38	1.0000	0.22198	4.5049	62.805	70.921	168.44	32.661	40.992	751.82	0.25580	36.680	0.093825	vapor
978.05	1.0000	0.22160	4.5126	62.860	70.989	168.51	32.683	41.014	752.42	0.25456	36.744	0.094055	vapor
979.71	1.0000	0.22122	4.5203	62.914	71.058	168.58	32.704	41.035	753.01	0.25332	36.809	0.094284	vapor
981.38	1.0000	0.22085	4.5280	62.969	71.126	168.65	32.725	41.056	753.60	0.25209	36.873	0.094513	vapor
983.05	1.0000	0.22047	4.5357	63.023	71.195	168.72	32.746	41.077	754.19	0.25086	36.938	0.094743	vapor
984.71	1.0000	0.22010	4.5434	63.078	71.263	168.79	32.768	41.098	754.78	0.24965	37.002	0.094972	vapor
986.38	1.0000	0.21973	4.5511	63.133	71.332	168.86	32.789	41.120	755.37	0.24844	37.067	0.095202	vapor
988.05	1.0000	0.21936	4.5588	63.187	71.400	168.93	32.810	41.141	755.96	0.24724	37.131	0.095432	vapor
989.71	1.0000	0.21899	4.5665	63.242	71.469	169.00	32.831	41.162	756.55	0.24605	37.196	0.095662	vapor
991.38	1.0000	0.21862	4.5742	63.297	71.537	169.07	32.853	41.183	757.13	0.24486	37.260	0.095892	vapor
993.04	1.0000	0.21825	4.5819	63.352	71.606	169.14	32.874	41.204	757.72	0.24369	37.324	0.096123	vapor
994.71	1.0000	0.21789	4.5896	63.406	71.675	169.21	32.895	41.225	758.31	0.24252	37.388	0.096353	vapor
996.38	1.0000	0.21752	4.5973	63.461	71.743	169.28	32.917	41.247	758.89	0.24135	37.453	0.096584	vapor
998.04	1.0000	0.21716	4.6050	63.516	71.812	169.34	32.938	41.268	759.48	0.24020	37.517	0.096814	vapor
999.71	1.0000	0.21679	4.6127	63.571	71.881	169.41	32.959	41.289	760.06	0.23905	37.581	0.097045	vapor
1001.4	1.0000	0.21643	4.6204	63.626	71.950	169.48	32.980	41.310	760.65	0.23791	37.645	0.097276	vapor
1003.0	1.0000	0.21607	4.6281	63.681	72.019	169.55	33.002	41.331	761.23	0.23677	37.709	0.097507	vapor
