Temperature (C)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
185.42	17.500	881.57	0.0011343	785.35	787.33	2.1907	3.3730	4.4243	1378.4	-0.010847	145.64	0.67145	liquid
186.46	17.500	880.41	0.0011358	789.96	791.94	2.2007	3.3689	4.4289	1375.3	-0.010723	144.78	0.67095	liquid
187.50	17.500	879.25	0.0011373	794.57	796.56	2.2107	3.3649	4.4335	1372.2	-0.010597	143.92	0.67043	liquid
188.54	17.500	878.08	0.0011389	799.19	801.18	2.2207	3.3608	4.4382	1369.0	-0.010469	143.07	0.66991	liquid
189.58	17.500	876.90	0.0011404	803.81	805.81	2.2308	3.3568	4.4429	1365.8	-0.010340	142.24	0.66938	liquid
190.63	17.500	875.72	0.0011419	808.44	810.44	2.2408	3.3528	4.4478	1362.7	-0.010210	141.41	0.66883	liquid
191.67	17.500	874.53	0.0011435	813.07	815.07	2.2507	3.3489	4.4527	1359.4	-0.010078	140.59	0.66828	liquid
192.71	17.500	873.34	0.0011450	817.71	819.71	2.2607	3.3449	4.4577	1356.2	-0.0099441	139.78	0.66772	liquid
193.75	17.500	872.14	0.0011466	822.35	824.36	2.2707	3.3410	4.4627	1352.9	-0.0098088	138.98	0.66715	liquid
194.79	17.500	870.93	0.0011482	827.00	829.01	2.2806	3.3371	4.4679	1349.6	-0.0096718	138.19	0.66656	liquid
195.83	17.500	869.72	0.0011498	831.66	833.67	2.2906	3.3332	4.4731	1346.3	-0.0095331	137.41	0.66597	liquid
196.88	17.500	868.50	0.0011514	836.31	838.33	2.3005	3.3293	4.4784	1343.0	-0.0093927	136.64	0.66536	liquid
197.92	17.500	867.28	0.0011530	840.98	843.00	2.3104	3.3255	4.4837	1339.6	-0.0092506	135.87	0.66475	liquid
198.96	17.500	866.04	0.0011547	845.65	847.67	2.3203	3.3216	4.4892	1336.2	-0.0091067	135.12	0.66412	liquid
200.00	17.500	864.81	0.0011563	850.33	852.35	2.3302	3.3178	4.4947	1332.8	-0.0089609	134.37	0.66349	liquid
201.04	17.500	863.56	0.0011580	855.01	857.03	2.3401	3.3140	4.5003	1329.3	-0.0088132	133.63	0.66284	liquid
202.08	17.500	862.31	0.0011597	859.70	861.73	2.3500	3.3102	4.5060	1325.9	-0.0086637	132.89	0.66218	liquid
203.13	17.500	861.06	0.0011614	864.39	866.42	2.3599	3.3065	4.5118	1322.4	-0.0085122	132.17	0.66151	liquid
204.17	17.500	859.79	0.0011631	869.09	871.13	2.3697	3.3027	4.5177	1318.8	-0.0083588	131.45	0.66083	liquid
205.21	17.500	858.52	0.0011648	873.80	875.83	2.3796	3.2990	4.5236	1315.3	-0.0082033	130.74	0.66014	liquid
205.73	17.500	857.89	0.0011657	876.13	878.17	2.3845	3.2972	4.5266	1313.5	-0.0081254	130.39	0.65979	liquid
205.73	17.500	8.8156	0.11343	2596.7	2795.2	6.3877	2.1086	3.0796	504.38	2.3348	15.913	0.041231	vapor
206.25	17.500	8.7999	0.11364	2598.0	2796.8	6.3910	2.0968	3.0602	504.95	2.3241	15.937	0.041232	vapor
207.29	17.500	8.7691	0.11404	2600.4	2800.0	6.3976	2.0751	3.0241	506.05	2.3032	15.985	0.041235	vapor
